Curriculum,Electrical Engineering & Society
Degree Plan,Electrical Engineering & Society/ Warren
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,14.1001
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,ECE 15,ECE,15,,,,4,,,1
4,CHEM 6A,CHEM,6A,,,,4,,,2
3,MATH 18,MATH,18,,,,4,,,2
5,ECE 25,ECE,25,,,,4,,,2
7,PHYS 2A,PHYS,2A,1,,,4,,,3
8,ECE 30,ECE,30,2;5,,,4,,,3
6,MATH 20B,MATH,20B,1,,,4,,,3
9,MATH 20C,MATH,20C,6,,,4,,,4
10,ECE 35,ECE,35,3;1;6;7,,,4,,,4
11,PHYS 2B,PHYS,2B,7;1;6,,,4,,,4
12,MATH 20D,MATH,20D,9,,,4,,,5
13,PHYS 2C,PHYS,2C,7;1;6;9,,,4,,,5
14,ECE 45,ECE,45,10,,,4,,,5
24,S / H ELECTIVE 1,,,,,,4,,,5
15,PHYS 2D,PHYS,2D,7;11;12,,,4,,,6
16,MATH 20E,MATH,20E,3;9,,,4,,,6
17,ECE 65,ECE,65,10,,,4,,,6
25,S / H ELECTIVE 2,,,,,,4,,,6
18,ECE 101,ECE,101,14,,,4,,,7
19,ECE 103,ECE,103,17;15;15,,,4,,,7
20,ECE 100,ECE,100,14;17,,,4,,,7
21,ECE 102,ECE,102,17;20,,,4,,,8
22,ECE 107,ECE,107,7;11;13;14,,,4,,,8
23,ECE 109,ECE,109,1;6;9;12;3,,,4,,,8
26,TECHNICAL ELECTIVE 1,,,,,,4,,,9
27,DEPTH 2,,,,,,4,,,9
28,DEPTH 1,,,,,,4,,,9
29,TECHNICAL ELECTIVE 2,,,,,,4,,,10
30,DEPTH 4,,,,,,4,,,10
31,DEPTH 3,,,,,,4,,,10
32,ENGINEERING DESIGN,,,,,,4,,,11
33,DEPTH 5,,,,,,4,,,11
34,TECHNICAL ELECTIVE 3,,,,,,4,,,11
35,DEPTH 6,,,,,,4,,,12
36,TECHNICAL ELECTIVE 4,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
37,GE 1,,,,,,4,,,1
38,GE 2,,,,,,4,,,1
39,GE 3,,,,,,4,,,2
40,GE 4,,,,,,4,,,3
41,GE 5,,,,,,4,,,3
42,GE 6,,,,,,4,,,4
43,GE 7,,,,,,4,,,4
44,GE 8,,,,,,4,,,5
45,GE / DEI,,,,,,4,,,6
46,GE 9,,,,,,4,,,7
47,GE 10,,,,,,4,,,8
48,GE 11,,,,,,4,,,9
49,GE 12,,,,,,4,,,10
50,GE 13,,,,,,4,,,11
51,GE 14,,,,,,4,,,12
52,GE 15,,,,,,4,,,12
