Curriculum,History,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,54.0101,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
2,HILD 1,,,,,,4,,
3,HILD 2,,,,,,4,,
4,HILD 3,,,,,,4,,
1,HITO 100 / HIUD 1,HITO,100,,,,4,,
5,HITO 100 / HIUD 2,HITO,100,,,,4,,
6,HITO 100 / HIUD 3,HITO,100,,,,4,,
7,HIUD 1,,,,,,4,,
8,HIUD 2,,,,,,4,,
9,HIUD 3,,,,,,4,,
10,HIUD 4,,,,,,4,,
11,HILD 4,,,,,,4,,
12,HIUD 5,,,,,,4,,
13,HIUD / COLLOQUIUM COURSE NUMBERED 160 - 190 1,,,,,,4,,
14,HIUD / COLLOQUIUM COURSE NUMBERED 160 - 190 2,,,,,,4,,
15,HIUD / COLLOQUIUM COURSE NUMBERED 160 - 190 3,,,,,,4,,
