Curriculum,Bioengineering: Bioinformatics
Degree Plan,Bioengineering: Bioinformatics/ ERC
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.1103
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
3,CSE 11,CSE,11,,,,4,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,CSE 12,CSE,12,3,,,4,,,2
7,MATH 20C / 31BH,MATH,20C,4,,,4,,,3
8,CHEM 6C,CHEM,6C,5,,,4,,,3
9,CHEM 7L,CHEM,7L,5,,,4,,,3
10,BILD 94,BILD,94,,,,1,,,3
11,MATH 20D,MATH,20D,7,,,4,,,4
12,PHYS 2A,PHYS,2A,1,,,4,,,4
13,BILD 1,BILD,1,2,5,,4,,,4
14,PHYS 2B,PHYS,2B,12;4,,,4,,,5
15,BILD 2,BILD,2,13,,,4,,,5
16,CHEM 140A,CHEM,140A,5,,,4,,,5
17,PHYS 2C,PHYS,2C,12;14;7,,,4,,,6
18,BILD 3,BILD,3,,,,4,,,6
20,CHEM 140B,CHEM,140B,16,,,4,,,6
19,CSE 21,CSE,21,,,,4,,,6
21,CSE 100,CSE,100,19;6,,,4,,,7
22,BICD 100,BICD,100,13,,,4,,,7
23,BIBC 102 / CHEM 114B,BIBC,102,16;20,,,4,,,7
24,BIMM 100 / CHEM 114C,BIMM,100,13;23,,,4,,,8
25,CSE 101,CSE,101,6;19;21,,,4,,,8
26,MATH 186,MATH,186,7,,,4,,,8
27,MATH 20F / 31AH,MATH,20F,,,,4,,,8
28,BIMM 101 / CHEM 109,BIMM,101,13,,,4,,,9
29,BICD 110,BICD,110,23,,,4,,,9
42,TECHNICAL ELECTIVE 1,,,,,,4,,,9
30,BENG 182,BENG,182,21,,,4,,,10
31,BENG 183,BENG,183,24;29,,,4,,,10
32,BIBC 103,BIBC,103,13,,,4,,,10
33,BENG 130,BENG,130,5;1;4;12;14;11;17,,,4,,,11
43,TECHNICAL ELECTIVE 2,,,,,,4,,,11
34,BENG 181,BENG,181,21;25;24,,,4,,,11
44,TECHNICAL ELECTIVE 3,,,,,,4,,,12
36,BIMM 185,BIMM,185,30;30;30;30;30;31;30;30;30;30,,,4,,,12
35,BENG 184,BENG,184,34;30,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
37,MMW 11,MMW,11,,,,4,,,1
2,CHEM6A,CHEM,6A,,,,4,,,1
38,MMW 12,MMW,12,,,,6,,,2
39,MMW 13,MMW,13,,,,6,,,3
40,MMW 14 / GE 1,MMW,14,38,,,4,,,4
45,MMW 14 / GE 2,MMW,14,38,,,4,,,5
41,MMW 15,MMW,15,38,,,4,,,6
46,GE 1,,,,,,4,,,7
47,GE / DEI,,,,,,4,,,7
48,GE 2,,,,,,4,,,8
49,GE 3,,,,,,4,,,9
50,GE 4,,,,,,4,,,10
51,GE 5,,,,,,4,,,11
52,GE 6,,,,,,4,,,12
