Curriculum,Speculative Design
Degree Plan,Speculative Design/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,50.0401
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,VIS 30,VIS,30,,,,4,,,1
1,"VIS 1, 2, / 3",VIS,1,,,,4,,,1
3,VIS 22,VIS,22,,,,4,,,2
4,VIS 11,VIS,11,,,,4,,,2
5,VIS 10,VIS,10,,,,4,,,3
6,VIS 41,VIS,41,,,,4,,,3
17,HISTORY & THEORY,,,,,,4,,,4
18,FOUNDATION LEVEL: ELECTIVE 1,,,,,,4,,,4
7,VIS 100,VIS,100,6,,,4,,,5
19,FOUNDATION LEVEL: ELECTIVE 2,,,,,,4,,,5
8,VIS 135,VIS,135,2,,,4,,,6
9,VIS 142,VIS,142,,,,4,,,7
20,INTERMEDIATE LEVEL: EMPHASIS 1,,,,,,4,,,8
10,VIS 159,VIS,159,,,,4,,,8
21,INTERMEDIATE LEVEL: EMPHASIS 2,,,,,,4,,,9
22,INTERMEDIATE LEVEL: EMPHASIS 3,,,,,,4,,,9
23,ADVANCED LEVEL: ELECTIVE 1,,,,,,4,,,10
24,ADVANCED LEVEL: ELECTIVE 2,,,,,,4,,,10
25,ADVANCED LEVEL: ELECTIVE 3,,,,,,4,,,11
11,VIS 190,VIS,190,8;9;7,,,8,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,MMW 11,MMW,11,,,,4,,,1
26,GE 1,,,,,,4,,,1
13,MMW 12,MMW,12,,,,6,,,2
14,MMW 13,MMW,13,,,,6,,,3
15,MMW 14 / GE 1,MMW,14,13;14,,,4,,,4
27,GE / DEI,,,,,,4,,,4
28,MMW 14 / GE 2,MMW,14,13;14,,,4,,,5
29,GE 2,,,,,,4,,,5
16,MMW 15,MMW,15,13;14,,,4,,,6
30,GE 3,,,,,,4,,,6
31,ELECTIVE 1,,,,,,4,,,6
32,GE 4,,,,,,4,,,7
33,GE 5,,,,,,4,,,7
34,ELECTIVE 2,,,,,,4,,,7
35,GE 6,,,,,,4,,,8
36,GE 7,,,,,,4,,,8
37,GE 8,,,,,,4,,,9
38,ELECTIVE 3,,,,,,4,,,9
39,ELECTIVE 4,,,,,,4,,,10
40,GE 9,,,,,,4,,,11
41,ELECTIVE 5,,,,,,4,,,11
42,ELECTIVE 6,,,,,,4,,,12
43,ELECTIVE 7,,,,,,4,,,12
