Curriculum,Chinese Studies,,,,,,,,,
Degree Plan,Chinese Studies/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0123,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHIN 10A (M / D / N),CHIN,10A,,,,5,,,1
2,CHIN 10B (M / D / N),CHIN,10B,,,,5,,,2
3,CHIN 10C (M / D / N),CHIN,10C,,,,5,,,3
4,CHIN 20A (M / D / N),CHIN,20A,,,,4,,,4
5,CHIN 20B (M / D / N),CHIN,20B,,,,4,,,5
6,CHIN 20C (M / D / N),CHIN,20C,,,,4,,,6
13,CHINESE STUDIES UD ELECTIVE 1,,,,,,4,,,7
14,CHINESE STUDIES UD HISTORY 1,,,,,,4,,,7
15,CHINESE STUDIES UD ELECTIVE 2,,,,,,4,,,8
16,CHINESE STUDIES UD ELECTIVE 3,,,,,,4,,,8
17,CHINESE STUDIES UD ELECTIVE 4,,,,,,4,,,9
18,CHINESE STUDIES UD HISTORY 2,,,,,,4,,,9
19,CHINESE STUDIES UD ELECTIVE 5,,,,,,4,,,10
20,CHINESE STUDIES UD HISTORY 3,,,,,,4,,,10
21,CHINESE STUDIES UD ELECTIVE 6,,,,,,4,,,11
22,CHINESE STUDIES UD ELECTIVE 7,,,,,,4,,,11
23,CHINESE STUDIES UD ELECTIVE 8,,,,,,4,,,12
24,CHINESE STUDIES UD ELECTIVE 9,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,MATH 10A / MATH 20A,MATH,10A,,,,4,,,1
25,SOCIAL SCIENCE GE,,,,,,4,,,1
26,MATH GE 1,,,,,,4,,,2
8,HUM 1,HUM,1,,,,6,,,2
27,MATH GE 2,,,,,,4,,,3
9,HUM 2,HUM,2,,,,6,,,3
28,PHYSICS GE,,,,,,4,,,4
10,HUM 3,HUM,3,8,,,4,,,4
29,NATURAL SCIENCE GE / CCER,,,,,,4,,,5
11,HUM 4,HUM,4,,,,4,,,5
30,ELECTIVE 1,,,,,,4,,,5
31,NATURAL SCIENCE GE,,,,,,4,,,6
12,HUM 5,HUM,5,,,,4,,,6
32,ELECTIVE 2,,,,,,4,,,6
33,SOCIAL SCIENCE GE / DEI,,,,,,4,,,7
34,ELECTIVE 3,,,,,,4,,,7
35,CHEMISTRY GE,,,,,,4,,,8
36,ELECTIVE 4,,,,,,4,,,8
37,BIOLOGY GE,,,,,,4,,,9
38,FINE ARTS GE,,,,,,2,,,9
39,UD ELECTIVE 1,,,,,,4,,,10
40,ELECTIVE 5,,,,,,4,,,10
41,UD ELECTIVE 2,,,,,,4,,,11
42,ELECTIVE 6,,,,,,4,,,11
43,UD ELECTIVE 3,,,,,,4,,,12
44,AHI / ELECTIVE,,,,,,4,,,12
