Curriculum,Biochemistry/Chemistry
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,DOC 1 / DEI,DOC,1,,,,4,,
2,MATH 20A,MATH,20A,,,,4,,
3,CHEM 6A,CHEM,6A,,,,4,,
4,DOC 2,DOC,2,1,,,6,,
5,MATH 20B,MATH,20B,2,,,4,,
6,CHEM 6B,CHEM,6B,3;2,,,4,,
7,BILD 1,BILD,1,,,,4,,
8,DOC 3,DOC,3,,,,6,,
9,MATH 20C,MATH,20C,5,,,4,,
10,CHEM 6C,CHEM,6C,6,,,4,,
11,CHEM 7L / 7LM,CHEM,7L,6,,,4,,
12,PHYS 2A,PHYS,2A,2;2,,,4,,
13,CHEM 40A,CHEM,40A,6,,,4,,
14,MATH 20D,MATH,20D,9,,,4,,
15,PHYS 2B,PHYS,2B,12;5,,,4,,
16,CHEM 40B,CHEM,40B,13,,,4,,
17,CHEM 43AM / 43A,CHEM,43AM,11;13,,,4,,
18,PHYS 2C / 2D,PHYS,2C,12;9,,,4,,
19,CHEM 40C,CHEM,40C,16,,,4,,
20,PHYS 2BL / 2CL / 2DL,PHYS,2BL,12,,,2,,
21,CHEM 114A,CHEM,114A,13,,,4,,
22,CHEM 126A,CHEM,126A,10;18;9,,,4,,
23,CHEM 100A,CHEM,100A,10;11,,,4,,
24,CHEM 114B,CHEM,114B,16;21,,,4,,
25,CHEM 126B,CHEM,126B,22,,,4,,
26,CHEM 143B,CHEM,143B,17;16,,,4,,
27,CHEM 114C,CHEM,114C,21,,,4,,
28,CHEM 105A,CHEM,105A,23;20;22,,,4,,
29,CHEM 120A,CHEM,120A,10;13,,,4,,
30,CHEM 108 / 109,CHEM,108,17;21,,,6,,
31,CHEM ELECTIVE LAB,,,,,,4,,
32,BIOCHEM ELECTIVE 1,,,,,,4,,
33,CHEM OPEN ELECTIVE,,,,,,4,,
34,BIOCHEM ELECTIVE 2,,,,,,4,,
