Curriculum,Probability & Statistics
Degree Plan,Probability & Statistics/ Warren
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,27.0599
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,MATH 20C,MATH,20C,3,,,4,,,3
5,MATH 109,MATH,109,2;4,,,4,,,4
6,CSE 11,CSE,11,,,,4,,,4
7,MATH 20D,MATH,20D,4,,,4,,,5
15,UD MAJOR 1,,,,,,4,,,6
8,MATH 20E,MATH,20E,2;4,,,4,,,6
16,UD MAJOR 2,,,,,,4,,,7
9,MATH 180A,MATH,180A,4,,,4,,,7
10,MATH 180B,MATH,180B,7;2;5;9,,,4,,,8
17,UD MAJOR 3,,,,,,4,,,8
11,MATH 181A,MATH,181A,9;2;4,,,4,,,8
18,GE 1,,,,,,4,,,8
12,MATH 180C,MATH,180C,10,,,4,,,9
13,MATH 181B,MATH,181B,11,,,4,,,9
19,UD MAJOR 4,,,,,,4,,,10
14,MATH 181C / 181E,MATH,181C,13,,,4,,,10
20,UD MAJOR 5,,,,,,4,,,11
21,UD MAJOR 6,,,,,,4,,,11
22,UD MAJOR 7,,,,,,4,,,12
23,UD MAJOR 8,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
24,GE 2,,,,,,4,,,1
25,GE 3,,,,,,4,,,1
26,GE 4,,,,,,4,,,2
27,GE 5,,,,,,4,,,2
28,ELECTIVE 1,,,,,,4,,,2
29,GE 6,,,,,,4,,,3
30,GE 7,,,,,,4,,,3
31,ELECTIVE 2,,,,,,4,,,3
32,GE 8,,,,,,4,,,4
33,GE 9,,,,,,4,,,4
34,GE 10,,,,,,4,,,5
35,GE 11,,,,,,4,,,5
36,ELECTIVE 3,,,,,,4,,,5
37,GE 12,,,,,,4,,,6
38,GE / DEI,,,,,,4,,,6
39,ELECTIVE 4,,,,,,4,,,7
40,GE 13,,,,,,4,,,7
41,GE 14,,,,,,4,,,9
42,GE 15,,,,,,4,,,9
43,ELECTIVE 5,,,,,,4,,,10
44,ELECTIVE 6,,,,,,4,,,11
45,ELECTIVE 7,,,,,,4,,,12
