Curriculum,Latin American Studies,,,,,,,,,
Degree Plan,Latin American Studies/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0107,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
15,ALTERNATIVE 1,,,,,,4,,,1
16,ELECTIVE 1,,,,,,4,,,1
17,DEI,,,,,,4,,,1
12,SYN 1,SYN,1,,,,4,,,2
18,ALTERNATIVE 2,,,,,,4,,,2
19,ELECTIVE 2,,,,,,4,,,2
20,ALTERNATIVE 3,,,,,,4,,,3
21,ELECTIVE 3,,,,,,4,,,3
22,ELECTIVE 4,,,,,,4,,,3
13,SYN 2,SYN,2,12,,,4,,,4
23,ELECTIVE 5,,,,,,4,,,4
24,ALTERNATIVE 4,,,,,,4,,,5
25,ELECTIVE 6,,,,,,4,,,5
26,ELECTIVE 7,,,,,,4,,,5
27,ALTERNATIVE 5,,,,,,4,,,6
28,ALTERNATIVE 6,,,,,,4,,,6
29,ELECTIVE 8,,,,,,4,,,6
30,ELECTIVE 9,,,,,,4,,,6
14,SYN 100,SYN,100,12;13,,,4,,,7
31,ELECTIVE 10,,,,,,4,,,7
32,ELECTIVE 11,,,,,,4,,,8
33,ELECTIVE 12,,,,,,4,,,8
34,ELECTIVE 13,,,,,,4,,,9
35,ELECTIVE 14,,,,,,4,,,10
36,UD ELECTIVE 1,,,,,,4,,,11
37,UD ELECTIVE 2,,,,,,4,,,12
