Curriculum,Cognitive Science with a Specialization in Machine Learning and Neural Computation
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,30.2501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,COGS 10 / DSGN 1,COGS,10,,,,4,,
2,MATH 20A,MATH,20A,,,,4,,
3,COGS 1,COGS,1,,,,4,,
4,MATH 20B,MATH,20B,2,,,4,,
5,COGS 13,COGS,13,,,,4,,
6,MATH 20C,MATH,20C,4,,,4,,
7,COGS 17,COGS,17,,,,4,,
8,MATH 18,MATH,18,,,,4,,
9,COGS 14A,COGS,14A,,,,4,,
10,MATH 20E,MATH,20E,8;6,,,4,,
11,COGS 14B,COGS,14B,9,,,4,,
12,COGS 18 / CSE (6R / 8A / 11) / BILD 62,COGS,18,,,,4,,
13,COGS 101A / 101B / 101C 1,COGS,101A,3,,,4,,
14,COGS 107A,COGS,107A,7,,,4,,
19,COGS 101A / 101B / 101C 2,COGS,101A,3,,,4,,
15,COGS 107B,COGS,107B,14,,,4,,
16,COGS 100,COGS,100,1,,,4,,
17,COGS 108,COGS,108,12,,,4,,
20,COGS UD ELECTIVE 1,,,,,,4,,
18,MATH 180A,MATH,180A,6,,,4,,
21,COGS UD ELECTIVE 2,,,,,,4,,
22,COGS UD ELECTIVE 3,,,,,,4,,
23,COGS UD ELECTIVE 4,,,,,,4,,
24,COGS UD ELECTIVE 5,,,,,,4,,
