Curriculum,Structural Engineering
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,14.0803
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,SE 1,SE,1,,,,4,,
4,MATH 20B,MATH,20B,1,,,4,,
5,PHYS 2A,PHYS,2A,1;1,,,4,,
6,MATH 20C,MATH,20C,4,,,4,,
7,PHYS 2B,PHYS,2B,5;4,,,4,,
8,PHYS 2BL,PHYS,2BL,5,,,2,,
9,SE 3,SE,3,3,,,4,,
10,PHYS 2C,PHYS,2C,5;6,,,4,,
11,PHYS 2CL,PHYS,2CL,5;7,,,2,,
12,SE 101A,SE,101A,5;6,,,4,,
13,MATH 20D,MATH,20D,6,,,4,,
14,SE 110A,SE,110A,12;13,,,4,,
15,MATH 18,MATH,18,,,,4,,
16,SE 101B,SE,101B,12,,,4,,
17,SE 105,SE,105,3;12,,,5,,
18,SE 9,SE,9,13;15,,,4,,
19,MATH 20E,MATH,20E,15;6,,,4,,
20,SE 110B,SE,110B,14,,,4,,
21,SE 125,SE,125,13;15,,,4,,
22,SE 101C,SE,101C,16;15,,,4,,
23,SE 130A,SE,130A,14,,,4,,
24,SE 115,SE,115,5;13,,,4,,
29,FOCUS SEQUENCE 1,,,,,,4,,
25,SE 102,SE,102,18;12,,,4,,
30,FOCUS SEQUENCE 2,,,,,,4,,
26,SE 131A,SE,131A,19;20;9,,,4,,
27,SE 130B,SE,130B,23;15,,,4,,
31,FOCUS SEQUENCE 3,,,,,,4,,
32,TECHNICAL ELECTIVE 1,,,,,,4,,
28,SE 131B,SE,131B,26;22;27,,,4,,
33,FOCUS SEQUENCE CAPSTONE 1,,,,,,4,,
34,FOCUS SEQUENCE 4,,,,,,4,,
35,TECHNICAL ELECTIVE 2,,,,,,4,,
36,FOCUS SEQUENCE CAPSTONE 2,,,,,,4,,
37,TECHNICAL ELECTIVE 3,,,,,,4,,
