Curriculum,Interdisciplinary Computing and the Arts,,,,,,,,,
Degree Plan,Interdisciplinary Computing and the Arts/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,VIS 41,VIS,41,,,,4,,,1
15,FOUNDATION ART MAKING,,,,,,4,,,1
16,FOUNDATION MATH,,,,,,4,,,2
2,VIS 22,VIS,22,,,,4,,,2
4,VIS 70N,VIS,70N,,,,4,,,3
3,VIS 10,VIS,10,,,,4,,,3
17,FOUNDATION INTERDISCIPLINARY,,,,,,4,,,4
18,FOUNDATION CSE,,,,,,4,,,4
19,HISTORY & THEORY,,,,,,4,,,5
5,VIS 159,VIS,159,,,,4,,,6
6,VIS 142,VIS,142,,,,4,,,7
20,INTERMEDIATE ART MAKING,,,,,,4,,,7
7,VIS 145A,VIS,145A,6,,,4,,,8
21,INTERMEDIATE COMPUTING 1,,,,,,4,,,8
22,INTERMEDIATE COMPUTING 2,,,,,,4,,,9
23,ADVANCED COMPUTING,,,,,,4,,,9
24,INTERMEDIATE INTERDISCIPLINARY,,,,,,4,,,10
8,VIS 160A,VIS,160A,7,,,4,,,11
25,ADVANCED INTERDISCIPLINARY,,,,,,4,,,11
9,VIS 160B,VIS,160B,8,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
10,MMW 11,MMW,11,,,,4,,,1
26,GE 1,,,,,,4,,,1
11,MMW 12,MMW,12,,,,6,,,2
12,MMW 13,MMW,13,11,,,6,,,3
13,MMW 14 / GE 1,MMW,14,11;12,,,4,,,4
27,GE 2,,,,,,4,,,4
28,MMW 14 / GE 2,MMW,14,11;12,,,4,,,5
29,GE 3,,,,,,4,,,5
30,GE 4,,,,,,4,,,5
14,MMW 15,MMW,15,11;12,,,4,,,6
31,GE 5,,,,,,4,,,6
32,GE 6,,,,,,4,,,6
33,GE 7,,,,,,4,,,7
34,GE 8,,,,,,4,,,7
35,GE 9,,,,,,4,,,8
36,GE 10,,,,,,4,,,8
37,DEI,,,,,,4,,,9
38,ELECTIVE 1,,,,,,4,,,9
39,ELECTIVE 2,,,,,,4,,,10
40,ELECTIVE 3,,,,,,4,,,10
41,ELECTIVE 4,,,,,,4,,,10
42,UD ELECTIVE,,,,,,4,,,11
43,ELECTIVE 5,,,,,,4,,,12
44,ELECTIVE 6,,,,,,4,,,12
