Curriculum,Third World Studies,,,,,,,,,
Degree Plan,Third World Studies/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0199,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LD TWS 21 - 26 1,TWS,21,,,,4,,,4
11,LD TWS 21 - 26 2,TWS,21,,,,4,,,5
12,LD TWS 21 - 26 3,TWS,21,,,,4,,,6
13,UD MAJOR - AFRICAN THEME 1,,,,,,4,,,7
14,UD MAJOR - LATIN AMERICAN THEME 1,,,,,,4,,,7
15,UD MAJOR - ASIAN THEME 1,,,,,,4,,,8
16,UD MAJOR - AFRICAN THEME 2,,,,,,4,,,8
17,UD MAJOR - ASIAN THEME 2,,,,,,4,,,9
18,UD MAJOR - LATIN AMERICAN THEME 2,,,,,,4,,,9
19,UD MAJOR - ELECTIVE 1,,,,,,4,,,10
20,UD MAJOR - ELECTIVE 2,,,,,,4,,,10
21,UD MAJOR - ELECTIVE 3,,,,,,4,,,11
22,UD MAJOR - ELECTIVE 4,,,,,,4,,,11
23,UD MAJOR - ELECTIVE 5,,,,,,4,,,12
24,UD MAJOR - ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MATH 10A,MATH,10A,,,,4,,,1
25,DEI / SOCIAL SCIENCE,,,,,,4,,,1
26,FINE ARTS,,,,,,4,,,1
3,MATH 10B,MATH,10B,2,,,4,,,2
27,SOCIAL SCIENCE,,,,,,4,,,2
4,HUM 1,HUM,1,,,,6,,,2
28,MATH GE,,,,,,4,,,3
29,BIOLOGY GE,,,,,,4,,,3
5,HUM 2,HUM,2,,,,6,,,3
6,CHEM 11,CHEM,11,,,,4,,,4
30,LANGUAGE 1,,,,,,5,,,4
7,HUM 3,HUM,3,,,,4,,,4
8,PHYS 10,PHYS,10,,,,4,,,5
31,LANGUAGE 2,,,,,,5,,,5
9,HUM 4,HUM,4,,,,4,,,5
32,ELECTIVE 1,,,,,,4,,,6
33,LANGUAGE 3,,,,,,5,,,6
10,HUM 5,HUM,5,,,,4,,,6
34,LANGUAGE 4,,,,,,5,,,7
35,NATURAL SCIENCE GE 1,,,,,,4,,,8
36,ELECTIVE 2,,,,,,4,,,8
37,NATURAL SCIENCE GE 2,,,,,,4,,,9
38,ELECTIVE 3,,,,,,4,,,9
39,ELECTIVE 4,,,,,,4,,,10
40,ELECTIVE 5,,,,,,4,,,10
41,ELECTIVE 6,,,,,,4,,,11
42,ELECTIVE 7,,,,,,4,,,11
43,ELECTIVE 8,,,,,,4,,,12
44,ELECTIVE 9,,,,,,4,,,12
