Curriculum,Literature/Composite Major,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,23.9999,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
3,LD LANG 1,,,,,,5,,
4,LD LIT 1,,,,,,4,,
5,LD LANG 2,,,,,,5,,
6,LD LIT 2,,,,,,4,,
7,LD LANG 3,,,,,,5,,
8,LD LIT 3,,,,,,4,,
9,LD LIT LANG 1,,,,,,5,,
10,LD LIT 4,,,,,,4,,
11,LD LIT LANG 2,,,,,,5,,
12,LD LIT 5,,,,,,4,,
13,LD LIT LANG 3,,,,,,5,,
14,LD LIT 6,,,,,,4,,
1,UD LIT 1 1,LIT,1,,,,4,,
15,UD LIT 1 2,LIT,1,,,,4,,
16,UD LIT 1 3,LIT,1,,,,4,,
17,UD LIT 1 4,LIT,1,,,,4,,
2,UD LIT 2 1,LIT,2,,,,4,,
18,UD LIT 2 2,LIT,2,,,,4,,
19,UD LIT 1 5,LIT,1,,,,4,,
20,UD LIT 1 6,LIT,1,,,,4,,
21,UD LIT 2 3,LIT,2,,,,4,,
22,UD LIT 2 4,LIT,2,,,,4,,
23,UD LIT 1 7,LIT,1,,,,4,,
24,UD LIT 2 5,LIT,2,,,,4,,
25,UD LIT 2 6,LIT,2,,,,4,,
26,UD LIT 1 8,LIT,1,,,,4,,
27,UD LIT 2 7,LIT,2,,,,4,,
28,UD LIT 2 8,LIT,2,,,,4,,
