Curriculum,Molecular Synthesis
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,40.0599
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHEM 6A,CHEM,6A,,,,4,,
2,MATH 20A,MATH,20A,,,,4,,
3,CHEM 6B,CHEM,6B,1;2,,,4,,
4,MATH 20B,MATH,20B,2,,,4,,
5,CHEM 6C,CHEM,6C,3,,,4,,
6,MATH 20C,MATH,20C,4,,,4,,
7,CHEM 7LM / 7L,CHEM,7LM,3,,,4,,
8,PHYS 2A,PHYS,2A,2;2,,,4,,
9,CHEM 40A,CHEM,40A,3,,,4,,
10,MATH 20D,MATH,20D,6,,,4,,
11,PHYS 2B,PHYS,2B,8;4,,,4,,
12,CHEM 40B,CHEM,40B,9,,,4,,
13,CHEM 43AM / 43A,CHEM,43AM,7;9,,,4,,
14,PHYS 2C / 2D,PHYS,2C,8;6,,,4,,
15,CHEM 40C,CHEM,40C,12,,,4,,
16,PHYS 2BL / 2CL / 2DL,PHYS,2BL,8,,,2,,
17,CHEM 100A,CHEM,100A,5,,,4,,
18,CHEM 114A,CHEM,114A,9,,,4,,
19,CHEM 120A,CHEM,120A,5;9,,,4,,
20,CHEM 126A,CHEM,126A,5;14;6,,,4,,
21,CHEM 120B,CHEM,120B,19,,,4,,
22,CHEM 143B,CHEM,143B,13;12,,,4,,
23,CHEM 126B,CHEM,126B,20,,,4,,
24,CHEM 105A,CHEM,105A,17;16;20,,,4,,
25,CHEM 152,CHEM,152,15,,,4,,
26,CHEM 123 / 143C / 143D 1,CHEM,123,19;13;21,,,5,,
27,CHEM 154 / 156,CHEM,154,15,,,4,,
29,CHEM ELECTIVE,,,,,,4,,
28,CHEM 125 / 157,CHEM,125,18;19,,,4,,
30,CHEM 123 / 143C / 143D 2,CHEM,123,19;13;21,,,4,,
