Curriculum,History
Degree Plan,History/ Muir
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,54.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,HILD 1,,,,,,4,,,1
2,HILD 2,,,,,,4,,,2
3,HILD 3,,,,,,4,,,3
4,HIUD 1,,,,,,4,,,4
5,HIUD 2,,,,,,4,,,4
6,HIUD 3,,,,,,4,,,5
7,HIUD 4,,,,,,4,,,5
8,HIUD 5,,,,,,4,,,6
9,HILD 4,,,,,,4,,,6
10,HIUD 6,,,,,,4,,,7
11,HIUD 7,,,,,,4,,,7
12,HIUD 8,,,,,,4,,,8
13,HIUD 9,,,,,,4,,,8
14,HIUD 10,,,,,,4,,,9
15,HIUD 11,,,,,,4,,,9
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
16,GE 1,,,,,,4,,,1
17,GE 2,,,,,,4,,,1
18,GE / WRITING 1,,,,,,4,,,1
19,GE 3,,,,,,4,,,2
20,GE 4,,,,,,4,,,2
21,GE / WRITING 2,,,,,,4,,,2
22,GE 5,,,,,,4,,,3
23,GE 6,,,,,,4,,,3
24,DEI,,,,,,4,,,3
25,ELECTIVE 1,,,,,,4,,,4
26,GE 7,,,,,,4,,,4
27,ELECTIVE 2,,,,,,4,,,5
28,GE 8,,,,,,4,,,5
29,ELECTIVE 3,,,,,,4,,,6
30,ELECTIVE 4,,,,,,4,,,6
31,MUIR UD ELECTIVE 1,,,,,,4,,,7
32,ELECTIVE 5,,,,,,4,,,7
33,MUIR UD ELECTIVE 2,,,,,,4,,,8
34,ELECTIVE 6,,,,,,4,,,8
35,MUIR UD ELECTIVE 3,,,,,,4,,,9
36,ELECTIVE 7,,,,,,4,,,9
37,ELECTIVE 8,,,,,,4,,,10
38,ELECTIVE 9,,,,,,4,,,10
39,ELECTIVE 10,,,,,,4,,,10
40,ELECTIVE 11,,,,,,4,,,11
41,ELECTIVE 12,,,,,,4,,,11
42,ELECTIVE 13,,,,,,4,,,11
43,ELECTIVE 14,,,,,,4,,,12
44,ELECTIVE 15,,,,,,4,,,12
45,ELECTIVE 16,,,,,,4,,,12
