Curriculum,Electrical Engineering
Degree Plan,Electrical Engineering/ Muir
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,14.1001
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,ECE 5,ECE,5,,,,4,,,1
3,ECE 15,ECE,15,,,,4,,,1
1,MATH 18,MATH,18,,,,4,,,1
4,MATH 20A,MATH,20A,,,,4,,,2
5,ECE 25,ECE,25,,,,4,,,2
6,CHEM 6A,CHEM,6A,,,,4,,,2
8,ECE 30,ECE,30,3;5,,,4,,,3
9,PHYS 2A,PHYS,2A,4,,,4,,,3
7,MATH 20B,MATH,20B,4,,,4,,,3
10,PHYS 2B,PHYS,2B,9;4;7,,,4,,,4
11,MATH 20C,MATH,20C,7,,,4,,,4
12,ECE 35,ECE,35,1;4;7;9,,,4,,,4
15,ECE 45,ECE,45,12,,,4,,,5
13,PHYS 2C,PHYS,2C,9;4;7;11,,,4,,,5
14,MATH 20D,MATH,20D,11,,,4,,,5
16,PHYS 2D,PHYS,2D,9;10;14,,,4,,,6
17,MATH 20E,MATH,20E,1;11,,,4,,,6
18,ECE 65,ECE,65,12,,,4,,,6
19,ECE 101,ECE,101,15,,,4,,,7
20,ECE 103,ECE,103,18;16;16,,,4,,,7
21,ECE 100,ECE,100,15;18,,,4,,,7
22,ECE 102,ECE,102,18;21,,,4,,,8
23,ECE 109,ECE,109,4;7;11;14;1,,,4,,,8
24,ECE 107,ECE,107,9;10;13;15,,,4,,,8
25,DEPTH 1,,,,,,4,,,9
26,TECHNICAL ELECTIVE 1,,,,,,4,,,9
27,PROFESSIONAL ELECTIVE 1,,,,,,4,,,9
28,DEPTH 2,,,,,,4,,,10
29,PROFESSIONAL ELECTIVE 2,,,,,,4,,,10
30,DEPTH 3,,,,,,4,,,10
31,TECHNICAL ELECTIVE 2,,,,,,4,,,11
32,DESIGN,,,,,,4,,,11
33,TECHNICAL ELECTIVE 3,,,,,,4,,,11
34,TECHNICAL ELECTIVE 4,,,,,,4,,,12
35,TECHNICAL ELECTIVE 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
36,GE / WRITING 1,,,,,,4,,,1
37,GE / WRITING 2,,,,,,4,,,2
38,DEI / GE,,,,,,4,,,3
39,GE 1,,,,,,4,,,4
40,GE 2,,,,,,4,,,5
41,GE 3,,,,,,4,,,6
42,GE 4,,,,,,4,,,7
43,GE 5,,,,,,4,,,8
44,GE 6,,,,,,4,,,9
45,GE 7,,,,,,4,,,10
46,GE 8,,,,,,4,,,12
