Curriculum,Human Developmental Sciences with a Specialization in Equity and Diversity,,,,,,,,,
Degree Plan,Human Developmental Sciences with a Specialization in Equity and Diversity/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MATH 10A / 20A,MATH,10A,,,,4,,,1
12,LD MAJOR PREP 1,,,,,,4,,,1
13,LD MAJOR PREP 2,,,,,,4,,,1
6,MATH 10B / 20A,MATH,10B,5,,,4,,,2
14,LD MAJOR PREP 3,,,,,,4,,,2
15,LD MAJOR PREP 4,,,,,,4,,,2
16,MATH GE,,,,,,4,,,3
17,LD MAJOR PREP 5,,,,,,4,,,3
18,LD MAJOR PREP 6,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
19,BIOLOGY GE,,,,,,4,,,4
20,HDS CORE COURSE 1,,,,,,4,,,5
21,HDS CORE COURSE 2,,,,,,4,,,5
22,HDS CORE COURSE 3,,,,,,4,,,6
23,HDS CORE COURSE 4,,,,,,4,,,6
24,LD HDS STATISTICS,,,,,,4,,,7
25,HDS E&D SPECIALIZATION 1,,,,,,4,,,7
26,NATURAL SCIENCE GE 1,,,,,,4,,,7
27,HDS E&D SPECIALIZATION 2,,,,,,4,,,8
28,HDS DEVELOPMENT COURSE 1,,,,,,4,,,8
29,HDS DEVELOPMENT COURSE 2,,,,,,4,,,9
30,HDS E&D PRACTICUM,,,,,,4,,,9
31,HDS DEVELOPMENT COURSE 3,,,,,,4,,,10
2,HDS 181,HDS,181,1,,,6,,,10
3,HDS 191,HDS,191,1;2,,,6,,,11
32,SOCIAL SCIENCE,,,,,,4,,,11
4,HDS 150,HDS,150,2,,,4,,,12
33,SOCIAL SCIENCE / DEI,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,HUM 1,HUM,1,,,,6,,,2
8,HUM 2,HUM,2,,,,6,,,3
9,HUM 3,HUM,3,7,,,4,,,4
34,CHEMISTRY GE,,,,,,4,,,5
10,HUM 4,HUM,4,,,,4,,,5
35,PHYSICS GE,,,,,,4,,,6
11,HUM 5,HUM,5,,,,4,,,6
36,LANGUAGE 1,,,,,,5,,,7
37,NATURAL SCIENCE GE 2,,,,,,4,,,8
38,LANGUAGE 2,,,,,,5,,,8
39,LANGUAGE 3,,,,,,5,,,9
40,LANGUAGE 4,,,,,,5,,,10
41,FINE ARTS,,,,,,4,,,11
42,UD ELECTIVE,,,,,,4,,,12
