Curriculum,Management Science
Degree Plan,Management Science/ Sixth
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,52.1301
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,ECON 1,ECON,1,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,ECON 3,ECON,3,2,,,4,,,2
6,ECON 4,ECON,4,,,,4,,,3
5,MATH 20C,MATH,20C,3,,,4,,,3
7,ECON 100A,ECON,100A,2;5,,,4,,,4
8,ECON 120A,ECON,120A,2;5,,,4,,,4
9,ECON 100B,ECON,100B,7,,,4,,,5
10,ECON 120B,ECON,120B,8,,,4,,,5
11,MATH 18,MATH,18,,,,4,,,5
12,ECON 100C,ECON,100C,9,,,4,,,6
13,ECON 120C,ECON,120C,10,,,4,,,6
14,ECON 172A,ECON,172A,7;8;11,,,4,,,7
15,ECON 173A,ECON,173A,7;10;11,,,4,,,7
16,ECON 173B,ECON,173B,6;15,,,4,,,8
17,ECON 172B,ECON,172B,14,,,4,,,8
18,ECON 171,ECON,171,7;8,,,4,,,9
23,ECON UD ELECTIVE 1,,,,,,4,,,10
24,ECON UD ELECTIVE 2,,,,,,4,,,10
25,ECON UD ELECTIVE 3,,,,,,4,,,11
26,ECON UD ELECTIVE 4,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
19,CAT 1,CAT,1,,,,4,,,1
27,GE 1,,,,,,4,,,1
20,CAT 2,CAT,2,19,,,6,,,2
21,CAT 3,CAT,3,20,,,6,,,3
28,GE 2,,,,,,4,,,4
29,ELECTIVE 1,,,,,,4,,,4
30,ELECTIVE 2,,,,,,4,,,5
31,GE 3,,,,,,4,,,6
32,ELECTIVE 3,,,,,,4,,,6
33,GE 4,,,,,,4,,,7
34,ELECTIVE 4,,,,,,4,,,7
35,GE 5,,,,,,4,,,8
36,GE 6,,,,,,4,,,8
22,CAT 125 / PRACTICUM 1,CAT,125,,,,4,,,9
37,GE / DEI,,,,,,4,,,9
38,ELECTIVE 5,,,,,,4,,,9
39,GE 7,,,,,,4,,,10
40,ELECTIVE 6,,,,,,4,,,10
41,CAT 125 / PRACTICUM 2,CAT,125,,,,4,,,11
42,ELECTIVE 7,,,,,,4,,,11
43,ELECTIVE 8,,,,,,4,,,12
44,ELECTIVE 9,,,,,,4,,,12
