Curriculum,Political Science/International Affairs,,,,,,,,,
Degree Plan,Political Science/International Affairs/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,POLI 11D,POLI,11D,,,,4,,,1
2,POLI 12D,POLI,12D,,,,4,,,2
3,POLI 5D,POLI,5D,,,,4,,,2
4,POLI 30D,POLI,30D,,,,4,,,3
14,UD POLI 1,,,,,,4,,,4
15,UD POLI - AMERICAN POLITICS 1,,,,,,4,,,4
16,UD POLI - INTERNATIONAL POLITICAL ECONOMY 1,,,,,,4,,,5
17,UD POLI - INTERNATIONAL RELATIONS / COMPARATIVE POLITICS 1,,,,,,4,,,5
18,UD POLI - AMERICAN POLITICS 2,,,,,,4,,,6
19,UD POLI - INTERNATIONAL RELATIONS / COMPARATIVE POLITICS 2,,,,,,4,,,6
20,UD POLI 2,,,,,,4,,,7
21,UD POLI - INTERNATIONAL POLITICAL ECONOMY 2,,,,,,4,,,7
22,UD POLI 3,,,,,,4,,,8
6,UD ELECTIVE / GPCO 401,GPCO,401,,,,4,,,10
7,UD ELECTIVE / GPCO 453,GPCO,453,,,,4,,,10
8,UD ELECTIVE / GPCO 412,GPCO,412,,,,4,,,10
9,GPCO 400,GPCO,400,,,,4,,,11
10,GPCO 415,GPCO,415,,,,4,,,11
11,GPCO 454,GPCO,454,,,,4,,,11
12,GPCO 403,GPCO,403,,,,4,,,12
13,GPCO 410,GPCO,410,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
23,GE 1,,,,,,4,,,1
24,GE 2,,,,,,4,,,1
25,GE 3,,,,,,4,,,1
26,GE 4,,,,,,4,,,2
27,GE 5,,,,,,4,,,2
5,GE: POLI 10D / 13D,POLI,10D,,,,4,,,3
28,GE 6,,,,,,4,,,3
29,DEI,,,,,,4,,,3
30,GE 7,,,,,,4,,,4
31,ELECTIVE 1,,,,,,4,,,4
32,GE 8,,,,,,4,,,5
33,ELECTIVE 2,,,,,,4,,,5
34,GE 9,,,,,,4,,,6
35,ELECTIVE 3,,,,,,4,,,6
36,ELECTIVE 4,,,,,,4,,,7
37,ELECTIVE 5,,,,,,4,,,7
38,ELECTIVE 6,,,,,,4,,,8
39,ELECTIVE 7,,,,,,4,,,8
40,ELECTIVE 8,,,,,,4,,,8
41,ELECTIVE 9,,,,,,4,,,9
42,ELECTIVE 10,,,,,,4,,,9
43,ELECTIVE 11,,,,,,4,,,9
44,ELECTIVE 12,,,,,,4,,,9
45,ELECTIVE 13,,,,,,4,,,12
