Curriculum,,,,,,,,,,
Degree Plan,/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,CHEM 6B,CHEM,6B,2;1,,,4,,,2
5,HUM 1,HUM,1,,,,6,,,2
6,MATH 20C,MATH,20C,3,,,4,,,3
7,CHEM 6C,CHEM,6C,4,,,4,,,3
8,HUM 2,HUM,2,,,,6,,,3
9,BILD 1,BILD,1,,,,4,,,4
10,PHYS 2A,PHYS,2A,1;1,,,4,,,5
14,UD MAJOR 1,,,,,,4,,,7
15,UD MAJOR 2,,,,,,4,,,7
16,UD MAJOR 3,,,,,,4,,,8
17,UD MAJOR 4,,,,,,4,,,8
18,UD MAJOR 5,,,,,,4,,,9
19,UD MAJOR 6,,,,,,4,,,9
20,UD MAJOR 7,,,,,,4,,,10
21,UD MAJOR 8,,,,,,4,,,10
22,UD MAJOR / UD ELECTIVE 1,,,,,,4,,,10
23,UD MAJOR 9,,,,,,4,,,11
24,UD MAJOR 10,,,,,,4,,,11
25,UD MAJOR / UD ELECTIVE 2,,,,,,4,,,11
26,UD MAJOR 11,,,,,,4,,,12
27,UD MAJOR 12,,,,,,4,,,12
28,UD MAJOR / UD ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
29,LANGUAGE 1,,,,,,5,,,1
30,DEI,,,,,,4,,,1
31,LANGUAGE 2,,,,,,5,,,2
32,LANGUAGE 3,,,,,,5,,,3
11,HUM 3,HUM,3,5,,,4,,,4
33,LANGUAGE 4,,,,,,5,,,4
34,MAJOR PREP / ELECTIVE 1,,,,,,4,,,4
12,HUM 4,HUM,4,,,,4,,,5
35,SOCIAL SCIENCE GE,,,,,,4,,,5
36,MAJOR PREP / ELECTIVE 2,,,,,,4,,,5
13,HUM 5,HUM,5,,,,4,,,6
37,SOCIAL SCIENCE GE / CCER,,,,,,4,,,6
38,MAJOR PREP / ELECTIVE 3,,,,,,4,,,6
39,ELECTIVE / AHI (IF NEEDED),,,,,,4,,,6
40,ELECTIVE 1,,,,,,4,,,7
41,MAJOR PREP / ELECTIVE 4,,,,,,4,,,7
42,ELECTIVE 2,,,,,,4,,,8
43,FINE ARTS GE,,,,,,4,,,9
