Curriculum,Marine Biology
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.1302
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 10A / 20A,MATH,10A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,BILD 3,BILD,3,,,,4,,
4,MATH 10B / 20B,MATH,10B,1,,,4,,
5,CHEM 6B,CHEM,6B,2;1,,,4,,
6,BILD 1,BILD,1,,,,4,,
7,SIO 90,SIO,90,,,,1,,
8,MATH 10C / 20C,MATH,10C,4,,,4,,
9,CHEM 6C,CHEM,6C,5,,,4,,
10,BILD 2,BILD,2,6,,,4,,
11,PHYS 1A,PHYS,1A,1,,,3,,
12,PHYS 1AL,PHYS,1AL,1,,,2,,
13,CHEM 7L,CHEM,7L,5,,,4,,
14,SIO 132,SIO,132,3,,,4,,
15,PHYS 1B,PHYS,1B,4;11,,,3,,
16,PHYS 1BL,PHYS,1BL,4;11;12,,,2,,
17,SIO 134,SIO,134,3,,,4,,
18,SIO 139,SIO,139,,,,2,,
19,PHYS 1C,PHYS,1C,4;15,,,3,,
20,PHYS 1CL,PHYS,1CL,4;15;16,,,2,,
21,BICD 100,BICD,100,6,,,4,,
22,SIO 136,SIO,136,3;14;17,,,6,,
23,SIO 119,SIO,119,9;19,,,4,,
24,SIO 187,SIO,187,3,,,4,,
26,UD MAJOR LAB ELECTIVE 1,,,,,,6,,
25,SIO 181,SIO,181,,,,4,,
27,UD MAJOR LAB ELECTIVE 2,,,,,,6,,
28,UD MAJOR ELECTIVE 1,,,,,,4,,
29,UD MAJOR ELECTIVE 2,,,,,,4,,
30,UD MAJOR ELECTIVE 3,,,,,,4,,
