Curriculum,Computer Science
Degree Plan,Computer Science/ Revelle
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,11.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CSE 8A,CSE,8A,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,CSE 8B,CSE,8B,2,,,4,,,2
5,MATH 20C,MATH,20C,3,,,4,,,3
6,CSE 20,CSE,20,4,,,4,,,3
8,CSE 15L,CSE,15L,4,,,2,,,3
7,CSE 12,CSE,12,4,,,4,,,3
10,CSE 30,CSE,30,7;8,,,4,,,4
9,CSE 21,CSE,21,6,,,4,,,4
26,CSE GENERAL SCIENCE 1,,,,,,4,,,4
27,CSE GENERAL SCIENCE 2,,,,,,4,,,5
12,CSE 105,CSE,105,7;8;6;9,,,4,,,5
11,CSE 100,CSE,100,9;7;8;10,,,4,,,5
15,CSE 110,CSE,110,11,,,2,,,6
13,MATH 18,MATH,18,,,,4,,,6
14,CSE 101,CSE,101,11,,,4,,,6
18,CSE 140L,CSE,140L,6;10,,,2,,,7
17,CSE 140,CSE,140,6;10,,,4,,,7
16,CSE 103 (OR MATH 183 / ECON 120A / ECE 109),CSE,103,1;3;9,,,4,,,7
28,SYSTEMS / NETWORKS,,,,,,4,,,8
20,CSE 141L,CSE,141L,10;17;18,,,2,,,8
19,CSE 141,CSE,141,10;17;18,,,4,,,8
29,LEARNING / VISION / GRAPHICS,,,,,,4,,,9
30,SECURITY / CRYPTOGRAPHY,,,,,,4,,,9
31,LANG / DATABASES,,,,,,4,,,9
32,CSE ELECTIVE 1,,,,,,4,,,10
33,CSE ELECTIVE 2,,,,,,4,,,10
34,CSE ELECTIVE 3,,,,,,4,,,10
35,CSE ELECTIVE 4,,,,,,4,,,11
36,CSE ELECTIVE 5,,,,,,4,,,11
37,CSE ELECTIVE 6,,,,,,4,,,12
38,CSE ELECTIVE 7,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
39,SOCIAL SCIENCE / DEI,,,,,,4,,,1
21,HUM 1,HUM,1,,,,6,,,2
22,HUM 2,HUM,2,,,,6,,,3
23,HUM 3,HUM,3,21,,,4,,,4
24,HUM 4,HUM,4,,,,4,,,5
25,HUM 5,HUM,5,,,,4,,,6
40,LANGUAGE 1,,,,,,5,,,7
41,LANGUAGE 2,,,,,,5,,,8
42,NATURAL SCIENCE GE 1,,,,,,4,,,9
43,LANGUAGE 3,,,,,,5,,,9
44,LANGUAGE 4,,,,,,5,,,10
45,SOCIAL SCIENCE,,,,,,4,,,11
46,NATURAL SCIENCE GE 2,,,,,,4,,,11
47,NATURAL SCIENCE GE 3,,,,,,4,,,12
48,FINE ARTS,,,,,,4,,,12
