Curriculum,Chinese Studies
Degree Plan,Chinese Studies/ Warren
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0123
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHIN 10A (M / D / N),CHIN,10A,,,,5,,,1
2,CHIN 10B (M / D / N),CHIN,10B,,,,5,,,2
3,CHIN 10C (M / D / N),CHIN,10C,,,,5,,,3
11,CHINESE STUDIES UD ELECTIVE 1,,,,,,4,,,3
12,CHINESE STUDIES UD ELECTIVE 2,,,,,,4,,,4
4,CHIN 20A (M / D / N),CHIN,20A,,,,4,,,4
13,CHINESE STUDIES UD ELECTIVE 3,,,,,,4,,,5
5,CHIN 20B (M / D / N),CHIN,20B,,,,4,,,5
6,CHIN 20C (M / D / N),CHIN,20C,,,,4,,,6
14,CHINESE STUDIES UD ELECTIVE 4,,,,,,4,,,6
15,GE / DEI,,,,,,4,,,6
16,CHINESE STUDIES UD ELECTIVE 5,,,,,,4,,,7
17,CHINESE STUDIES COLLOQUIUM,,,,,,4,,,7
18,CHINESE STUDIES UD ELECTIVE 6,,,,,,4,,,8
19,CHINESE STUDIES UD ELECTIVE 7,,,,,,4,,,8
20,CHINESE STUDIES UD ELECTIVE 8,,,,,,4,,,9
21,CHINESE STUDIES UD ELECTIVE 9,,,,,,4,,,9
22,CHINESE STUDIES UD ELECTIVE 10,,,,,,4,,,10
23,CHINESE STUDIES UD ELECTIVE 11,,,,,,4,,,11
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,WCWP 10A,WCWP,10A,,,,4,,,1
24,GE 1,,,,,,4,,,1
25,ELECTIVE 1,,,,,,4,,,1
8,WCWP 10B,WCWP,10B,7,,,4,,,2
26,GE 2,,,,,,4,,,2
27,ELECTIVE 2,,,,,,4,,,2
9,PHIL / POLI 27,POLI,27,7;8,,,4,,,3
28,GE 3,,,,,,4,,,3
10,PHIL / POLI 28,POLI,28,9,,,4,,,4
29,GE 4,,,,,,4,,,4
30,GE 5,,,,,,4,,,5
31,GE 6,,,,,,4,,,5
32,GE 7,,,,,,4,,,6
33,GE 8,,,,,,4,,,7
34,GE 9,,,,,,4,,,7
35,GE 10,,,,,,4,,,8
36,GE 11,,,,,,4,,,8
37,GE 12,,,,,,4,,,9
38,ELECTIVE 3,,,,,,1,,,9
39,GE 13,,,,,,4,,,10
40,ELECTIVE 4,,,,,,4,,,10
41,ELECTIVE 5,,,,,,4,,,11
42,ELECTIVE 6,,,,,,4,,,11
43,ELECTIVE 7,,,,,,4,,,12
44,ELECTIVE 8,,,,,,4,,,12
45,ELECTIVE 9,,,,,,4,,,12
