Curriculum,Chinese Studies
Degree Plan,Chinese Studies/ Revelle
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0123
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHIN 10A (M / D / N),CHIN,10A,,,,5,,,1
2,CHIN 10B (M / D / N),CHIN,10B,,,,5,,,2
3,CHIN 10C (M / D / N),CHIN,10C,,,,5,,,3
4,CHIN 20A (M / D / N),CHIN,20A,,,,4,,,4
5,CHIN 20B (M / D / N),CHIN,20B,,,,4,,,5
14,CHINESE STUDIES UD ELECTIVE 1,,,,,,4,,,5
6,CHIN 20C (M / D / N),CHIN,20C,,,,4,,,6
15,CHINESE STUDIES UD ELECTIVE 2,,,,,,4,,,6
16,CHINESE STUDIES UD ELECTIVE 3,,,,,,4,,,7
17,CHINESE STUDIES UD ELECTIVE 4,,,,,,4,,,7
18,CHINESE STUDIES UD ELECTIVE 5,,,,,,4,,,8
19,CHINESE STUDIES UD ELECTIVE 6,,,,,,4,,,8
20,CHINESE STUDIES COLLOQUIUM,,,,,,4,,,9
21,CHINESE STUDIES UD ELECTIVE 7,,,,,,4,,,9
22,CHINESE STUDIES UD ELECTIVE 8,,,,,,4,,,10
23,CHINESE STUDIES UD ELECTIVE 9,,,,,,4,,,10
24,CHINESE STUDIES UD ELECTIVE 10,,,,,,4,,,11
25,CHINESE STUDIES UD ELECTIVE 11,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,MATH 10A / MATH 20A,MATH,10A,,,,4,,,1
26,SOCIAL SCIENCE GE,,,,,,4,,,1
8,MATH 10B / MATH 20B,MATH,10B,7,,,4,,,2
9,HUM 1,HUM,1,,,,6,,,2
27,MATH GE,,,,,,4,,,3
10,HUM 2,HUM,2,,,,6,,,3
28,CHEMISTRY GE,,,,,,4,,,4
11,HUM 3,HUM,3,9,,,4,,,4
29,NATURAL SCIENCE GE 1,,,,,,4,,,5
12,HUM 4,HUM,4,,,,4,,,5
30,NATURAL SCIENCE GE 2,,,,,,4,,,6
13,HUM 5,HUM,5,,,,4,,,6
31,SOCIAL SCIENCE / DEI,,,,,,4,,,7
32,ELECTIVE 1,,,,,,4,,,7
33,PHYSICS GE,,,,,,4,,,8
34,ELECTIVE 2,,,,,,4,,,8
35,BIOLOGY GE,,,,,,4,,,9
36,FINE ARTS GE,,,,,,4,,,9
37,UD ELECTIVE 1,,,,,,4,,,10
38,ELECTIVE 3,,,,,,4,,,10
39,UD ELECTIVE 2,,,,,,4,,,11
40,ELECTIVE 4,,,,,,4,,,11
41,ELECTIVE 5,,,,,,4,,,11
42,UD ELECTIVE 3,,,,,,4,,,12
43,AHI / ELECTIVE,,,,,,4,,,12
44,ELECTIVE 6,,,,,,1,,,12
