Curriculum,,,,,,,,,,
Degree Plan,/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,LD FORMAL SKILLS,,,,,,4,,,1
9,LD SOC SCI 1,,,,,,4,,,1
10,LD BIOLOGY SCI 1,,,,,,4,,,2
11,LD SOC SCI 2,,,,,,4,,,2
12,LD BIOLOGY SCI 2,,,,,,4,,,3
13,LD STATISTICS,,,,,,4,,,3
1,HDP 1,HDP,1,,,,4,,,4
14,HDP CORE 1,,,,,,4,,,5
15,HDP CORE 2,,,,,,4,,,5
16,HDP CORE 3,,,,,,4,,,6
17,HDP CORE 4,,,,,,4,,,6
18,DEVELOPMENT 1,,,,,,4,,,7
19,DEVELOPMENT 2,,,,,,4,,,7
2,HDP 181,HDP,181,1,,,6,,,8
20,DEVELOPMENT 3,,,,,,4,,,8
3,HDP 191,HDP,191,1;2,,,6,,,9
21,DEVELOPMENT 4,,,,,,4,,,9
22,DEVELOPMENT 5,,,,,,4,,,10
4,HDP 194A,HDP,194A,,,,4,,,10
23,HONORS METHODS,,,,,,4,,,11
5,HDP 194B,HDP,194B,,,,4,,,11
7,HDP 194C,HDP,194C,,,,4,,,12
6,HDP 150,HDP,150,2,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
24,GE 1,,,,,,4,,,1
25,ELECTIVE 1,,,,,,4,,,1
26,GE 2,,,,,,4,,,2
27,GE 3,,,,,,4,,,2
28,GE 4,,,,,,4,,,3
29,GE 5,,,,,,4,,,3
30,GE 6,,,,,,4,,,4
31,GE 7,,,,,,4,,,4
32,ELECTIVE 2,,,,,,4,,,4
33,GE 8,,,,,,4,,,5
34,GE 9,,,,,,4,,,5
35,GE / DEI,,,,,,4,,,6
36,GE 10,,,,,,4,,,6
37,GE 11,,,,,,4,,,7
38,ELECTIVE 3,,,,,,4,,,7
39,GE 12,,,,,,4,,,8
40,GE 13,,,,,,4,,,9
41,GE 14,,,,,,4,,,10
42,ELECTIVE 4,,,,,,4,,,10
43,ELECTIVE 5,,,,,,4,,,11
44,GE 15,,,,,,4,,,12
