Curriculum,Chemistry,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,40.0501,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,MATH 20B,MATH,20B,1,,,4,,
4,CHEM 6B,CHEM,6B,2;1,,,4,,
5,MATH 20C,MATH,20C,3,,,4,,
6,CHEM 6C,CHEM,6C,4,,,4,,
7,CHEM 7LM / 7L,CHEM,7LM,4,,,4,,
8,CHEM 40A,CHEM,40A,4,,,4,,
9,PHYS 2A,PHYS,2A,1,,,4,,
10,MATH 20D,MATH,20D,5,,,4,,
11,CHEM 40B,CHEM,40B,8,,,4,,
12,PHYS 2B,PHYS,2B,9;1;3,,,4,,
13,CHEM 43AM / 43A,CHEM,43AM,7;8,,,4,,
14,CHEM 40C,CHEM,40C,11,,,4,,
15,PHYS 2C / 2D,PHYS,2C,9;1;3;5,,,4,,
16,CHEM 143B,CHEM,143B,13;11,,,4,,
17,CHEM 120A,CHEM,120A,6;8,,,4,,
18,CHEM 130,CHEM,130,6;15;10,,,4,,
19,CHEM 100A,CHEM,100A,6,,,4,,
20,CHEM 120B,CHEM,120B,17,,,4,,
21,CHEM 131,CHEM,131,6;15;5,,,4,,
22,PHYS 2CL,PHYS,2CL,9;12,,,2,,
23,CHEM 105A,CHEM,105A,19;22;21,,,4,,
24,CHEM 132,CHEM,132,18;21,,,4,,
26,CHEM ELECTIVE LAB 1,,,,,,4,,
25,CHEM 114A,CHEM,114A,8,,,4,,
27,CHEM ELECTIVE LAB 2,,,,,,4,,
28,CHEM ELECTIVE 1,,,,,,4,,
29,CHEM ELECTIVE 2,,,,,,4,,
30,CHEM ELECTIVE 3,,,,,,4,,
