Curriculum,Artificial Intelligence,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,11.0102,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CSE 8A / 11,CSE,8A,,,,4,,
20,LDE,,,,,,4,,
3,CSE 11,CSE,11,,,,4,,
4,CSE 25,CSE,25,,,,4,,
5,MATH 20B,MATH,20B,1,,,4,,
6,CSE 20,CSE,20,2,,,4,,
7,CSE 12,CSE,12,3,,,4,,
8,MATH 20C,MATH,20C,5,,,4,,
9,MATH 18,MATH,18,,,,4,,
10,CSE 21,CSE,21,6,,,4,,
11,CSE 29,CSE,29,3,,,4,,
12,CSE 30,CSE,30,11,,,4,,
13,CSE 55,CSE,55,7;4;11;9;8,,,4,,
14,CSE 103,CSE,103,1;5;10,,,4,,
21,GENERAL SCIENCE,,,,,,4,,
15,CSE 101,CSE,101,10;7,,,4,,
16,CSE 100,CSE,100,10;7;11,,,4,,
17,CSE 150A / CSE 150B,CSE,150A,7;11;14;1;9,,,4,,
22,AI ELECTIVE 1,,,,,,4,,
23,SYSTEMS ELECTIVE 1,,,,,,4,,
18,CSE 151A,CSE,151A,7;11;14;9;8,,,4,,
24,AI ELECTIVE 2,,,,,,4,,
19,PHIL 174,PHIL,174,,,,4,,
25,AI ELECTIVE 3,,,,,,4,,
26,THEORY / ABSTRACTION ELECTIVE 1,,,,,,4,,
27,APPLICATIONS ELECTIVE 1,,,,,,4,,
28,OPEN CSE ELECTIVE 1,,,,,,4,,
29,APPLICATIONS ELECTIVE 2,,,,,,4,,
30,OPEN CSE ELECTIVE 2,,,,,,4,,
31,SYSTEMS ELECTIVE 2,,,,,,4,,
32,THEORY / ABSTRACTION ELECTIVE 2,,,,,,4,,
