Curriculum,General Physics,,,,,,,,,
Degree Plan,General Physics/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
24,PHYS RE 1,,,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
25,PHYS RE 2,,,,,,4,,,2
4,PHYS 2A,PHYS,2A,1,,,4,,,2
5,MATH 20C,MATH,20C,3,,,4,,,3
26,PHYS RE 3,,,,,,4,,,3
6,PHYS 2B,PHYS,2B,4;1;3,,,4,,,3
7,PHYS 2C,PHYS,2C,4;1;3;5,,,4,,,4
8,MATH 20D,MATH,20D,5,,,4,,,4
9,PHYS 2D,PHYS,2D,4;6;8,,,4,,,5
10,MATH 20E,MATH,20E,2;5,,,4,,,5
11,PHYS 2CL,PHYS,2CL,4;6,,,2,,,5
12,PHYS 2DL,PHYS,2DL,11,,,2,,,6
13,PHYS 100A,PHYS,100A,4;6;7;7;1;3;5;8;10;2,,,4,,,7
14,PHYS 110A,PHYS,110A,4;6;7;7;1;3;5;8;10;2,,,4,,,7
15,PHYS 105A,PHYS,105A,6;7;9;9;1;3;5;8;10;2,,,4,,,7
16,PHYS 100B,PHYS,100B,13;1;3;5;8;10;2,,,4,,,8
17,PHYS 110B,PHYS,110B,14;1;3;5;8;10;2,,,4,,,8
18,PHYS 120,PHYS,120,4;6;7;11,,,5,,,9
19,PHYS 130A,PHYS,130A,9;13;14,,,4,,,9
27,PHYS ELECTIVE 1,,,,,,4,,,10
20,PHYS 140A,PHYS,140A,19,,,4,,,10
28,PHYS ELECTIVE 2,,,,,,4,,,11
29,PHYS ELECTIVE 3,,,,,,4,,,11
30,PHYS ELECTIVE 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
21,DOC 1 / DEI,DOC,1,,,,4,,,1
22,DOC 2,DOC,2,21,,,6,,,2
23,DOC 3,DOC,3,,,,6,,,3
31,GE 1,,,,,,4,,,4
32,GE 2,,,,,,4,,,4
33,ELECTIVE 1,,,,,,4,,,5
34,GE 3,,,,,,4,,,6
35,GE 4,,,,,,4,,,6
36,ELECTIVE 2,,,,,,4,,,6
37,GE 5,,,,,,4,,,7
38,GE 6,,,,,,4,,,8
39,ELECTIVE 3,,,,,,3,,,8
40,UD GE 1,,,,,,4,,,9
41,ELECTIVE 4,,,,,,4,,,9
42,UD GE 2,,,,,,4,,,10
43,GE 7,,,,,,4,,,11
44,UD ELECTIVE 1,,,,,,4,,,12
45,UD ELECTIVE 2,,,,,,4,,,12
