Curriculum,General Physics,,,,,,,,,
Degree Plan,General Physics/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
27,PHYS RE 1,,,,,,4,,,1
21,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,PHYS 2A,PHYS,2A,1,,,4,,,2
28,PHYS RE 2,,,,,,4,,,2
5,MATH 20C,MATH,20C,3,,,4,,,3
6,PHYS 2B,PHYS,2B,4;1;3,,,4,,,3
29,PHYS RE 3,,,,,,4,,,3
8,MATH 20D,MATH,20D,5,,,4,,,4
7,PHYS 2C,PHYS,2C,4;1;3;5,,,4,,,4
10,MATH 20E,MATH,20E,2;5,,,4,,,5
9,PHYS 2D,PHYS,2D,4;6;8,,,4,,,5
11,PHYS 2CL,PHYS,2CL,4;6,,,2,,,5
12,PHYS 2DL,PHYS,2DL,11,,,2,,,6
13,PHYS 100A,PHYS,100A,4;6;7;7;1;3;5;8;10;2,,,4,,,7
14,PHYS 110A,PHYS,110A,4;6;7;7;1;3;5;8;10;2,,,4,,,7
15,PHYS 105A,PHYS,105A,6;7;9;9;1;3;5;8;10;2,,,4,,,7
17,PHYS 110B,PHYS,110B,14;1;3;5;8;10;2,,,4,,,8
16,PHYS 100B,PHYS,100B,13;1;3;5;8;10;2,,,4,,,8
19,PHYS 130A,PHYS,130A,9;13;14,,,4,,,9
18,PHYS 120,PHYS,120,4;6;7;11,,,5,,,9
20,PHYS 140A,PHYS,140A,19,,,4,,,10
30,PHYS ELECTIVE 1,,,,,,4,,,10
31,PHYS ELECTIVE 2,,,,,,4,,,11
32,PHYS ELECTIVE 3,,,,,,4,,,11
33,PHYS ELECTIVE 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,HUM 1,HUM,1,,,,6,,,2
23,HUM 2,HUM,2,,,,6,,,3
24,HUM 3,HUM,3,22,,,4,,,4
25,HUM 4,HUM,4,,,,4,,,5
26,HUM 5,HUM,5,,,,4,,,6
34,BIOLOGY GE,,,,,,4,,,6
35,SOCIAL SCIENCE,,,,,,4,,,6
36,LANGUAGE 1,,,,,,5,,,7
37,LANGUAGE 2,,,,,,5,,,8
38,LANGUAGE 3,,,,,,5,,,9
39,LANGUAGE 4,,,,,,5,,,10
40,FINE ARTS,,,,,,4,,,11
41,DEI / SOCIAL SCIENCE,,,,,,4,,,11
42,ELECTIVE 1,,,,,,4,,,12
43,ELECTIVE 2,,,,,,4,,,12
44,ELECTIVE 3,,,,,,3,,,12
