Curriculum,Political Science/International Affairs,,,,,,,,,
Degree Plan,Political Science/International Affairs/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,POLI 5D,POLI,5D,,,,4,,,1
2,POLI 11D,POLI,11D,,,,4,,,2
3,POLI 12D,POLI,12D,,,,4,,,3
16,GPS LANGUAGE 1,,,,,,4,,,4
4,POLI 30D,POLI,30D,,,,4,,,4
17,POLI INTERNATIONAL POLITICAL ECONOMY 1,,,,,,4,,,4
18,GPS LANGUAGE 2,,,,,,4,,,5
19,POLI INTERNATIONAL POLITICAL ECONOMY 2,,,,,,4,,,5
20,POLI AMERICAN POLITICS 1,,,,,,4,,,5
21,POLI AMERICAN POLITICS 2,,,,,,4,,,6
22,POLI UD 1,,,,,,4,,,6
23,GPS LANGUAGE 3,,,,,,4,,,6
24,GPS LANGUAGE 4,,,,,,4,,,7
25,POLI UD 2,,,,,,4,,,7
26,POLI IR / CP 1,,,,,,4,,,7
27,POLI IR / CP 2,,,,,,4,,,8
28,POLI UD 3,,,,,,4,,,8
29,GPS LANGUAGE 5,,,,,,4,,,8
30,GPS LANGUAGE 6,,,,,,4,,,9
5,GPCO 401,GPCO,401,,,,4,,,10
6,GPCO 453,GPCO,453,,,,4,,,10
7,GPCO 412,GPCO,412,,,,4,,,10
8,GPCO 400,GPCO,400,,,,4,,,11
9,GPCO 415,GPCO,415,,,,4,,,11
10,GPCO 454,GPCO,454,,,,4,,,11
11,GPCO 410,GPCO,410,,,,4,,,12
12,GPCO 403,GPCO,403,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,DOC 1 / UCSD DEI,DOC,1,,,,4,,,1
31,TMC LD GE 1,,,,,,4,,,1
32,TMC LD GE 2,,,,,,4,,,1
14,DOC 2,DOC,2,13,,,6,,,2
33,TMC LD GE 3,,,,,,4,,,2
34,TMC LD GE 4,,,,,,4,,,2
15,DOC 3,DOC,3,14,,,6,,,3
35,TMC LD GE 5,,,,,,4,,,3
36,TMC LD GE 6,,,,,,4,,,3
37,TMC LD GE 7,,,,,,4,,,4
38,TMC LD BREADTH 1,,,,,,4,,,5
39,TMC LD BREADTH 2,,,,,,4,,,6
40,TMC UD BREADTH 1,,,,,,4,,,7
41,TMC UD BREADTH 2,,,,,,4,,,8
42,JTCCER,,,,,,4,,,9
43,ELECTIVE 1,,,,,,4,,,9
44,ELECTIVE 2,,,,,,4,,,12
