Curriculum,Physics-Biophysics
Degree Plan,Physics-Biophysics/ Warren
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,40.0899
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
3,PHYS 4A,PHYS,4A,1,,,4,,,2
8,MATH 20C,MATH,20C,4,,,4,,,3
7,CHEM 6C,CHEM,6C,5,,,4,,,3
6,PHYS 4B,PHYS,4B,3;4,,,4,,,3
9,PHYS 4C,PHYS,4C,3;6;8,,,4,,,4
11,CHEM 7L,CHEM,7L,5,,,4,,,4
10,MATH 20E,MATH,20E,8,,,4,,,4
14,MATH 20D,MATH,20D,8,,,4,,,5
15,BILD 1,BILD,1,2,5,,4,,,5
12,PHYS 4D,PHYS,4D,3;6;9;10,,,4,,,5
13,PHYS 2CL,PHYS,2CL,9;3,,,2,,,5
17,PHYS 2DL,PHYS,2DL,13,,,2,,,6
16,PHYS 4E,PHYS,4E,3;6;9;12;10;14,,,4,,,6
19,BILD 2,BILD,2,15,,,4,,,6
18,MATH 20F,MATH,20F,8,,,4,,,6
20,PHYS 100A,PHYS,100A,3;9;6;12;1;4;8;14;10;18,,,4,,,7
21,PHYS 105A,PHYS,105A,9;6;12;16;1;4;8;14;10;18,,,4,,,7
22,PHYS 110A,PHYS,110A,3;9;6;12;1;4;8;14;10;18,,,4,,,7
29,PHYS RE 1,,,,,,4,,,8
23,CHEM 140A,CHEM,140A,5,,,4,,,8
24,PHYS 130A,PHYS,130A,22,,,4,,,9
25,PHYS 120,PHYS,120,3;9;6;13,,,5,,,9
26,PHYS 140A,PHYS,140A,24,,,4,,,10
27,PHYS 175,PHYS,175,20;22,,,4,,,10
30,BIOPHYSICS ELECTIVE,,,,,,4,,,11
28,PHYS 173,PHYS,173,25;15;11,,,4,,,12
31,PHYS RE 2,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
32,GE 1,,,,,,4,,,1
33,GE 2,,,,,,4,,,1
34,GE 3,,,,,,4,,,2
35,GE 4,,,,,,4,,,3
36,GE 5,,,,,,4,,,4
37,GE / DEI,,,,,,4,,,6
38,GE 6,,,,,,4,,,7
39,GE 7,,,,,,4,,,8
40,GE 8,,,,,,4,,,8
41,GE 9,,,,,,4,,,9
42,GE 10,,,,,,4,,,9
43,GE 11,,,,,,4,,,10
44,GE 12,,,,,,4,,,10
45,GE 13,,,,,,4,,,11
46,GE 14,,,,,,4,,,11
47,GE 15,,,,,,4,,,12
