Curriculum,Biochemistry and Cell Biology
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 10A / 20A,MATH,10A,,,,4,,
2,BILD 4,BILD,4,,,,2,,
3,CHEM 6A,CHEM,6A,,,,4,,
4,MATH 10B / 20B,MATH,10B,1,,,4,,
5,BILD 1,BILD,1,3,,,4,,
6,CHEM 6B,CHEM,6B,3;1,,,4,,
7,MATH 11&11L,MATH,11,4,,,5,,
8,CHEM 6C,CHEM,6C,6,,,4,,
9,CHEM 7L,CHEM,7L,6,,,4,,
10,BILD 3,BILD,3,,,,4,,
11,PHYS 1A,PHYS,1A,1,,,3,,
12,PHYS 1AL,PHYS,1AL,1,,,2,,
13,CHEM 140A,CHEM,140A,6,,,4,,
14,BICD 100,BICD,100,5,,,4,,
15,PHYS 1B,PHYS,1B,4;11;12,,,3,,
16,PHYS 1BL,PHYS,1BL,11;12;4,,,2,,
17,CHEM 140B,CHEM,140B,13,,,4,,
18,BIBC 103,BIBC,103,5,,,4,,
19,PHYS 1C,PHYS,1C,7;15;16,,,3,,
20,PHYS 1CL,PHYS,1CL,15;16;7,,,2,,
21,BIBC 102,BIBC,102,13;17,,,4,,
22,CHEM 143A,CHEM,143A,,,,4,,
23,BIMM 100,BIMM,100,5;21,,,4,,
24,BIBC 100,BIBC,100,13;17,,,4,,
26,UD BIOLOGY LAB,,,,,,4,,
25,BICD 110,BICD,110,21,,,4,,
27,UD BIOLOGY CAPSTONE,,,,,,4,,
28,UD BIOLOGY ELECTIVE 1,,,,,,4,,
29,UD BIOLOGY ELECTIVE 2,,,,,,4,,
30,UD BIOLOGY ELECTIVE 3,,,,,,4,,
